,S1,S2,S3,S4,S5,S6,W1,W2,W3,W4,W5,W6
group,sut,sut,sut,sut,sut,sut,wild-type,wild-type,wild-type,wild-type,wild-type,wild-type
Adenine,5701.50327,,4557.362216,7355.118283,7835.120647,7704.886633,2839.736384,6896.921367,4447.183806,7552.661677,5276.728015,7306.410692
Adenosine 5'-diphosphate,21869.33644,9980.983962,6512.949319,7166.596578,23617.47653,14736.44009,9741.395948,18686.9072,3410.785107,3260.325985,18033.36392,7053.44968
Adenosine 5'-monophosphate,4788.204078,,3953.167501,4623.086772,18522.45865,13005.79605,2836.722191,12754.64002,2576.938778,,6396.557997,2895.288483
Adenosine 5'-triphosphate,601430.4968,612301.1686,895722.2857,789757.5791,799623.1216,662051.8311,401180.66,688718.8806,236040.7055,884920.2447,627281.5852,807313.2984
ADP-ribose,,1851.343388,,,,,1636.293897,1934.939313,,,1420.259407,
Alanine,32764.31759,21566.49814,25180.28877,20922.8195,32810.52529,29542.32662,18244.74147,27134.14944,13104.02319,20555.43823,27819.78567,24152.66032
Alanyl-Glutamine,34519.88304,12331.81738,9740.169204,10363.63447,29728.17632,22127.65544,19973.00397,37010.02009,5066.432452,7280.478173,32484.58022,11632.06381
alpha-Ketoglutaric acid,62959.57939,52771.2528,58144.05978,49941.83673,75370.89239,59211.50048,63763.45817,83764.09719,26132.74159,53887.96032,60317.71715,55880.72091
Aminoadipic acid,8371.811239,6622.935263,8268.519835,8997.442415,11347.9131,11531.24078,7809.656233,12344.53002,4262.653913,13043.41442,9773.142379,11587.13921
Asparagine,66387.42658,53187.90861,67299.37221,63824.81425,88817.68677,71611.7392,37341.74982,62376.03126,33247.78849,54460.69943,56103.96459,47634.98094
Aspartic Acid,542483.0265,525964.0142,609825.1476,496228.7014,677167.7158,582977.4744,409387.2876,691558.5595,294007.3648,499299.1198,549324.8124,462754.3278
Carnosine,9070.056786,1855.789949,,1902.744084,5614.621558,4899.986372,,4262.460361,1245.018096,248.5742525,5008.650424,
cis-Aconitic acid,18504.61437,11942.78203,14682.9244,10443.57806,21213.35651,19800.14199,10537.72372,19676.26794,6593.278313,9106.536981,16311.19681,14327.04584
Citramalic acid,91179.64198,72913.56039,98634.55774,92532.42547,106891.0554,113520.1992,58806.9556,89243.23536,37199.36575,91052.35759,73425.07285,86655.30097
Citric acid,1206521.864,1255533.401,1249031.836,1035186.052,1816187.263,1550097.907,922794.6679,1360365.678,532715.7428,877768.8506,1273448.852,959728.9342
Citrulline,31169.84896,24634.84827,33773.55559,32557.90925,42824.76462,33872.66145,13455.28638,16156.15119,5526.757917,19203.81146,15835.82958,19356.91572
Coenzyme A,8070.840863,2441.284602,1260.531995,1759.015714,9277.487098,6697.376417,4622.717132,8445.522972,848.9311698,528.8613668,7952.686418,2495.661832
Creatine,454730.7487,292187.0886,411172.0181,341398.8705,462465.8907,432139.375,285871.3366,432107.07,183140.6133,416994.8343,391056.5235,393558.0654
Creatine phosphate,135912.1633,98209.40751,154017.4139,121064.089,168056.3318,124822.588,84514.65224,142045.1206,38442.01865,130354.2588,138298.1042,175936.7153
Creatinine,128692.6921,78556.03893,110324.6442,85942.23476,126307.0448,139571.1628,83639.31826,124712.9504,53511.97047,101714.0094,106386.2303,100332.6587
Cyclic ADP-ribose,9378.181743,3010.311226,1889.508703,2961.076763,10882.19811,7158.215005,4389.640576,6817.102131,912.4186564,509.5876763,6619.937038,2726.819929
"4,5-dihydroorotate",41554.64826,35579.40806,28587.53424,24217.66048,54895.95414,42537.71968,95581.92763,104934.113,40372.03497,71425.75568,106445.5106,99628.21118
Dihydrouracil,15439.16205,9352.17179,12590.86451,9335.32444,16271.04851,12815.8472,27019.38652,30905.95798,13354.59653,39048.17607,30947.6555,49016.82609
Dihydroxyacetone phosphate,192019.5243,131571.1131,176566.7828,215690.8611,252503.1086,220576.7523,187647.9471,266494.5837,77981.2757,309666.5708,223084.1023,228304.5802
Erythronic acid,192647.8543,157133.7284,185624.9568,124963.2199,220766.7777,170620.518,148903.8913,215999.5622,88859.28653,133193.9231,234928.4895,169840.3004
Ethyl pyruvate,93621.82687,63039.72624,95647.09035,72517.05907,104556.2001,84839.48175,44252.92082,47101.37591,40411.32223,73169.70965,55892.85452,61101.6932
"Fructose 1,6-bisphosphate",6812.98855,9218.858247,15911.90256,17780.8218,25955.58132,14550.23082,8524.44778,16156.62313,1227.427305,12774.19553,10746.96901,12973.44775
Fumaric acid,767833.6617,631181.0264,899344.7273,791639.1139,951413.6926,730399.5564,578371.7056,938573.6385,318369.5583,917336.4354,771394.59,867107.3836
Galactonic acid,332547.6249,260001.2706,256230.4676,189446.0188,388679.6743,295814.9609,282193.5632,394819.2667,132248.7899,232002.5662,365765.1738,285892.2654
gamma-Aminobutyric acid,134392.0345,93013.84283,115760.0791,108954.3809,164221.6245,134423.0885,91055.414,147484.3424,54891.63398,99811.78013,127378.5973,112236.6196
Glucose 6-phosphate,69093.91877,58074.9476,76691.70452,68289.1527,91865.43128,73027.99349,47579.47653,66784.25654,21748.26653,80305.53287,48092.6665,71729.10127
Glucose-1-phosphate/Fructose-6P,23935.00725,15009.81583,19809.00995,18797.21244,28052.08266,24136.56011,17264.07613,24731.71114,4651.359036,22256.4452,19803.69382,21627.15588
Glutamic acid,1298244.523,921164.3288,1138238.475,1025859.909,1579880.429,1285821.372,935438.696,1441247.572,506318.4116,956857.9072,1256244.449,1080089.871
Glutamine,506483.4471,393430.4179,475076.3693,448388.176,680547.7724,565158.0177,272575.7503,411725.9123,187027.4506,301631.5567,441465.4358,367861.6079
Glyceraldehyde,360695.3036,217179.1747,274622.8389,243509.263,411608.5147,327141.5969,236388.8755,304613.7805,181405.085,286370.0666,325051.2685,347306.0984
Glyceraldehyde 3-phosphate,416005.4725,357805.6372,422275.7627,346149.8923,416246.0089,523197.5451,367226.3545,551856.8294,179232.5216,610648.9241,419878.109,490227.3589
Glycerate 2-phosphate,50788.67396,65692.76959,97621.77409,57860.68311,77085.06405,43239.41884,46147.77903,44720.12297,18966.82662,82505.74235,49571.7845,70947.43359
